Date,Open,High,Low,Close,Adj Close,Volume
2022-03-29,3690.000000,3721.000000,3690.000000,3704.949951,3588.296875,139652
2022-03-30,3738.000000,3738.000000,3707.050049,3730.649902,3613.187744,70417
2022-03-31,3736.000000,3754.000000,3720.050049,3738.800049,3621.081299,52924
2022-04-01,3746.149902,3762.449951,3729.000000,3756.850098,3638.562988,84280
2022-04-04,3761.000000,3779.000000,3738.050049,3769.800049,3651.105225,56385
2022-04-05,3792.000000,3835.500000,3775.550049,3814.050049,3693.962158,127222
2022-04-06,3812.649902,3812.649902,3732.300049,3756.149902,3637.884766,76724
2022-04-07,3740.050049,3743.300049,3676.000000,3684.949951,3568.927002,172534
2022-04-08,3690.000000,3705.000000,3643.850098,3686.850098,3570.767090,138607
2022-04-11,3698.000000,3711.250000,3656.850098,3696.399902,3580.015869,168596
2022-04-12,3680.000000,3738.600098,3650.050049,3691.449951,3575.221924,283042
2022-04-13,3703.000000,3710.050049,3657.000000,3661.300049,3546.021484,106056
2022-04-18,3620.000000,3620.000000,3524.000000,3528.449951,3417.354004,183837
2022-04-19,3550.000000,3563.600098,3440.000000,3474.300049,3364.909180,207746
2022-04-20,3489.750000,3569.000000,3481.050049,3555.949951,3443.988525,183652
2022-04-21,3589.000000,3643.000000,3568.500000,3629.949951,3515.658447,42124
2022-04-22,3580.000000,3617.000000,3571.199951,3611.850098,3498.128418,303745
2022-04-25,3561.100098,3583.000000,3534.000000,3547.699951,3435.998291,76976
2022-04-26,3565.000000,3587.300049,3520.000000,3544.649902,3433.044189,71786
2022-04-27,3540.000000,3568.050049,3506.000000,3561.300049,3449.169922,94285
2022-04-28,3585.000000,3603.800049,3539.000000,3584.000000,3471.155029,85289
2022-04-29,3597.000000,3621.949951,3537.399902,3550.100098,3438.322510,47354
2022-05-02,3513.000000,3548.399902,3494.000000,3542.050049,3430.526123,103847
2022-05-04,3540.000000,3545.199951,3465.550049,3482.449951,3372.802734,1062687
2022-05-05,3506.050049,3532.949951,3486.600098,3513.300049,3402.681152,74099
2022-05-06,3468.449951,3474.699951,3425.050049,3433.000000,3324.909424,134551
2022-05-09,3393.000000,3455.500000,3348.750000,3446.100098,3337.596924,185666
2022-05-10,3440.000000,3464.899902,3425.000000,3437.250000,3329.025635,95068
2022-05-11,3434.000000,3447.500000,3382.000000,3412.899902,3305.442139,66515
2022-05-12,3400.000000,3448.399902,3350.100098,3411.000000,3303.602295,158049
2022-05-13,3441.000000,3441.300049,3383.149902,3413.449951,3305.975342,142500
2022-05-16,3414.000000,3429.500000,3366.850098,3376.649902,3270.333740,32081
2022-05-17,3369.949951,3466.399902,3351.250000,3452.199951,3343.505127,37639
2022-05-18,3460.000000,3495.000000,3443.050049,3449.000000,3340.405762,59292
2022-05-19,3376.000000,3402.600098,3231.050049,3270.699951,3167.719727,494805
2022-05-20,3309.000000,3314.000000,3271.149902,3293.899902,3190.189209,137393
2022-05-23,3315.000000,3338.000000,3267.050049,3320.949951,3216.387451,88129
2022-05-24,3311.000000,3320.949951,3276.500000,3288.050049,3184.523682,105893
2022-05-25,3286.000000,3286.550049,3155.000000,3166.600098,3087.555908,235534
2022-05-26,3190.000000,3242.000000,3181.000000,3228.600098,3148.008545,110339
2022-05-27,3249.000000,3278.850098,3230.000000,3262.199951,3180.769531,146145
2022-05-30,3273.850098,3385.800049,3273.850098,3375.550049,3291.290039,117464
2022-05-31,3355.000000,3382.949951,3324.100098,3364.800049,3280.808594,72520
2022-06-01,3385.000000,3388.000000,3342.500000,3356.500000,3272.715576,121714
2022-06-02,3357.000000,3432.250000,3350.050049,3422.949951,3337.506836,104828
2022-06-03,3454.699951,3477.500000,3431.550049,3438.800049,3352.961426,65791
2022-06-06,3421.000000,3453.100098,3378.000000,3430.250000,3344.624756,34827
2022-06-07,3420.000000,3420.000000,3356.199951,3362.000000,3278.078369,26386
2022-06-08,3372.000000,3413.449951,3347.000000,3403.050049,3318.103760,79401
2022-06-09,3373.000000,3436.399902,3354.149902,3426.550049,3341.017090,46081
2022-06-10,3388.000000,3390.149902,3352.100098,3365.350098,3281.344971,116639
2022-06-13,3291.000000,3293.000000,3194.000000,3220.149902,3139.769043,168993
2022-06-14,3198.000000,3238.899902,3178.899902,3211.250000,3131.091309,168330
2022-06-15,3214.949951,3234.000000,3201.100098,3206.800049,3126.752441,87160
2022-06-16,3237.399902,3241.649902,3134.000000,3142.350098,3063.911377,175120
2022-06-17,3099.649902,3110.550049,3023.350098,3089.250000,3012.136719,276257
2022-06-20,3094.500000,3138.600098,3069.699951,3113.199951,3035.488770,94264
2022-06-21,3128.000000,3237.300049,3125.000000,3212.000000,3131.822754,106881
2022-06-22,3201.000000,3249.000000,3184.149902,3222.000000,3141.572998,94514
2022-06-23,3222.000000,3317.000000,3222.000000,3309.000000,3226.401611,371935
2022-06-24,3344.000000,3344.000000,3278.000000,3292.949951,3210.751953,107346
2022-06-27,3338.000000,3361.699951,3306.399902,3312.649902,3229.960205,38084
2022-06-28,3312.649902,3326.250000,3274.000000,3318.949951,3236.103027,31985
2022-06-29,3270.000000,3332.899902,3270.000000,3291.050049,3208.899414,108986
2022-06-30,3270.000000,3310.949951,3254.000000,3265.250000,3183.743408,41813
2022-07-01,3262.000000,3332.449951,3252.000000,3316.149902,3233.372803,34282
2022-07-04,3315.000000,3316.600098,3225.800049,3234.649902,3153.907227,113323
2022-07-05,3252.000000,3272.000000,3209.000000,3216.149902,3135.868896,138816
2022-07-06,3216.000000,3267.899902,3202.399902,3260.300049,3178.916992,101238
2022-07-07,3269.949951,3319.000000,3265.000000,3286.949951,3204.901855,77239
2022-07-08,3297.000000,3300.250000,3250.050049,3264.850098,3183.353516,76501
2022-07-11,3220.000000,3223.050049,3105.850098,3113.250000,3035.537842,202245
2022-07-12,3125.000000,3136.199951,3081.000000,3084.649902,3007.651611,188774
2022-07-13,3108.500000,3109.899902,3033.699951,3038.550049,2962.702148,107114
2022-07-14,3060.000000,3060.000000,2968.000000,2998.699951,2931.565430,167339
2022-07-15,3015.000000,3028.000000,2953.000000,2993.550049,2926.530762,120629
2022-07-18,3023.399902,3076.449951,3015.000000,3060.350098,2991.835205,1742719
2022-07-19,3026.000000,3078.949951,3026.000000,3075.100098,3006.254883,103279
2022-07-20,3109.449951,3170.850098,3098.000000,3163.949951,3093.115723,217944
2022-07-21,3167.100098,3183.550049,3144.100098,3177.699951,3106.558105,51548
2022-07-22,3180.000000,3197.000000,3142.100098,3171.000000,3100.008057,81444
2022-07-25,3169.000000,3185.000000,3148.350098,3167.300049,3096.390869,61457
2022-07-26,3163.949951,3166.949951,3096.550049,3115.850098,3046.092773,96329
2022-07-27,3102.000000,3194.100098,3102.000000,3188.350098,3116.969482,44030
2022-07-28,3214.899902,3264.000000,3201.350098,3260.199951,3187.210938,80279
2022-07-29,3290.199951,3316.600098,3276.000000,3300.800049,3226.902100,55026
2022-08-01,3327.050049,3329.000000,3271.000000,3299.199951,3225.337891,1310532
2022-08-02,3281.000000,3311.449951,3272.000000,3290.050049,3216.392822,75259
2022-08-03,3289.500000,3349.000000,3276.699951,3339.600098,3264.833496,47351
2022-08-04,3352.000000,3387.949951,3306.649902,3354.149902,3279.057617,128302
2022-08-05,3354.000000,3377.000000,3354.000000,3365.250000,3289.909180,25229
2022-08-08,3361.000000,3378.899902,3335.500000,3373.949951,3298.414307,86210
2022-08-10,3377.100098,3380.300049,3335.000000,3356.000000,3280.866211,72060
2022-08-11,3393.000000,3428.000000,3377.000000,3422.449951,3345.828613,124557
2022-08-12,3420.000000,3420.100098,3382.000000,3399.800049,3323.685791,112772
2022-08-16,3403.050049,3413.500000,3387.800049,3392.949951,3316.989014,22937
2022-08-17,3385.000000,3417.000000,3371.000000,3400.649902,3324.516602,111891
2022-08-18,3399.000000,3399.000000,3361.699951,3381.250000,3305.550781,137979
2022-08-19,3388.000000,3421.000000,3371.050049,3385.250000,3309.461426,140465
2022-08-22,3369.000000,3384.449951,3347.000000,3354.250000,3279.155273,96277
2022-08-23,3324.250000,3340.899902,3274.550049,3283.750000,3210.233643,122593
2022-08-24,3295.000000,3307.850098,3251.000000,3255.350098,3182.469482,53777
2022-08-25,3270.199951,3279.949951,3213.500000,3218.100098,3146.053711,91523
2022-08-26,3234.850098,3257.000000,3218.100098,3221.649902,3149.523926,28323
2022-08-29,3145.000000,3145.000000,3081.300049,3133.699951,3063.542969,114608
2022-08-30,3148.000000,3226.949951,3143.199951,3211.600098,3139.698975,117816
2022-09-01,3189.600098,3189.600098,3121.199951,3131.550049,3061.441162,431542
2022-09-02,3160.000000,3161.399902,3121.500000,3129.649902,3059.583740,108411
2022-09-05,3129.649902,3147.449951,3113.500000,3132.850098,3062.712158,224678
2022-09-06,3134.199951,3140.949951,3106.100098,3128.850098,3058.801758,67799
2022-09-07,3117.000000,3160.899902,3102.000000,3151.100098,3080.553467,105750
2022-09-08,3164.000000,3183.699951,3160.449951,3169.850098,3098.883789,96753
2022-09-09,3190.300049,3232.000000,3168.850098,3217.300049,3145.271484,197742
2022-09-12,3233.850098,3268.699951,3226.750000,3241.300049,3168.734131,90748
2022-09-13,3260.000000,3263.149902,3225.000000,3229.399902,3157.100586,129890
2022-09-14,3135.000000,3142.000000,3114.750000,3120.850098,3050.980713,373125
2022-09-15,3127.000000,3140.649902,3101.000000,3104.350098,3034.850098,192170
2022-09-16,3088.000000,3097.949951,3001.000000,3008.649902,2941.292480,352662
2022-09-19,3025.000000,3042.949951,2988.350098,3028.550049,2960.747070,855360
2022-09-20,3050.000000,3079.899902,3031.000000,3041.399902,2973.309326,112804
2022-09-21,3029.000000,3040.800049,3000.000000,3001.750000,2934.547119,124329
2022-09-22,2986.149902,3029.949951,2980.000000,3007.600098,2940.266113,148264
2022-09-23,3006.100098,3021.949951,2980.100098,2982.800049,2916.021240,145153
2022-09-26,2978.000000,3024.500000,2926.000000,2994.750000,2927.703613,181320
2022-09-27,3014.449951,3025.000000,2976.000000,3018.649902,2951.068848,152031
2022-09-28,2980.000000,3049.000000,2980.000000,3037.350098,2969.350342,129003
2022-09-29,3042.000000,3052.500000,2990.699951,2997.350098,2930.245850,116665
2022-09-30,2995.000000,3019.000000,2950.100098,3004.600098,2937.333252,167509
2022-10-03,3004.600098,3020.449951,2973.850098,2985.699951,2918.856445,161101
2022-10-04,3020.000000,3097.500000,3020.000000,3092.500000,3023.265381,113230
2022-10-06,3103.000000,3124.100098,3092.500000,3104.699951,3035.192139,185886
2022-10-07,3099.000000,3104.850098,3059.000000,3064.949951,2996.332275,190047
2022-10-10,3013.100098,3129.899902,3013.050049,3121.199951,3051.322754,227444
2022-10-11,3100.000000,3144.550049,3054.750000,3068.949951,3000.242676,1428966
2022-10-12,3093.800049,3110.000000,3063.250000,3100.750000,3031.330566,77306
2022-10-13,3104.600098,3110.000000,3053.300049,3101.050049,3031.624023,123897
2022-10-14,3136.000000,3149.000000,3071.050049,3097.649902,3028.300049,127684
2022-10-17,3082.000000,3127.500000,3072.550049,3111.649902,3049.863281,1207533
2022-10-18,3145.000000,3153.550049,3128.899902,3143.750000,3081.325928,41737
2022-10-19,3139.850098,3153.350098,3112.550049,3120.750000,3058.782715,50767
2022-10-20,3112.000000,3160.000000,3104.500000,3154.850098,3092.205566,35915
2022-10-21,3154.850098,3159.000000,3127.649902,3139.399902,3077.062256,93476
2022-10-24,3160.000000,3178.000000,3155.000000,3161.949951,3099.164551,42704
2022-10-25,3180.000000,3183.949951,3150.850098,3161.800049,3099.017578,142516
2022-10-27,3159.000000,3173.350098,3134.600098,3156.149902,3093.479492,42161
2022-10-28,3156.149902,3178.399902,3147.050049,3162.949951,3100.144531,36819
2022-10-31,3193.000000,3199.300049,3178.449951,3193.050049,3129.646973,80343
2022-11-01,3209.000000,3261.649902,3205.050049,3259.600098,3194.875732,52959
2022-11-02,3270.000000,3270.000000,3222.149902,3242.750000,3178.360107,146673
2022-11-03,3225.000000,3225.449951,3195.000000,3207.149902,3143.466797,1567293
2022-11-04,3207.149902,3220.000000,3168.000000,3216.300049,3152.435303,112298
2022-11-07,3225.000000,3242.000000,3196.149902,3234.250000,3170.028809,121301
2022-11-09,3236.000000,3245.600098,3202.000000,3215.949951,3152.092285,107468
2022-11-10,3175.000000,3225.149902,3172.399902,3206.000000,3142.339844,114990
2022-11-11,3262.000000,3341.250000,3253.600098,3316.100098,3250.253662,308454
2022-11-14,3321.000000,3349.000000,3307.300049,3334.050049,3267.847168,145040
2022-11-15,3325.000000,3341.149902,3291.800049,3332.649902,3266.474854,132868
2022-11-16,3334.000000,3367.000000,3322.050049,3354.050049,3287.450195,196455
2022-11-17,3343.000000,3358.649902,3318.300049,3351.399902,3284.852539,46877
2022-11-18,3346.000000,3361.399902,3321.149902,3341.800049,3275.443359,138271
2022-11-21,3330.000000,3332.199951,3274.699951,3282.300049,3217.124756,26113
2022-11-22,3272.000000,3318.949951,3255.050049,3314.250000,3248.440430,23411
2022-11-23,3330.000000,3330.000000,3290.750000,3310.399902,3244.666748,73213
2022-11-24,3315.000000,3392.000000,3307.050049,3378.500000,3311.414551,150131
2022-11-25,3378.000000,3402.000000,3348.000000,3388.850098,3321.559082,80720
2022-11-28,3371.000000,3416.199951,3365.000000,3397.399902,3329.939209,95814
2022-11-29,3380.250000,3428.000000,3380.250000,3397.100098,3329.645264,166776
2022-11-30,3390.000000,3413.149902,3375.050049,3392.399902,3325.038574,32178
2022-12-01,3421.000000,3479.649902,3421.000000,3475.100098,3406.096436,261887
2022-12-02,3460.000000,3468.000000,3414.000000,3439.250000,3370.958252,83358
2022-12-05,3424.000000,3435.850098,3407.300049,3425.000000,3356.991211,77725
2022-12-06,3400.000000,3407.850098,3367.850098,3384.350098,3317.148438,50436
2022-12-07,3367.000000,3394.649902,3354.050049,3380.600098,3313.472900,45278
2022-12-08,3374.000000,3374.000000,3339.050049,3350.300049,3283.774658,106443
2022-12-09,3366.000000,3372.000000,3277.000000,3292.649902,3227.269043,68806
2022-12-12,3250.000000,3295.000000,3236.350098,3284.500000,3219.281006,80179
2022-12-13,3280.199951,3339.399902,3269.000000,3331.899902,3265.739746,36869
2022-12-14,3341.000000,3378.050049,3341.000000,3364.699951,3297.888428,39334
2022-12-15,3364.000000,3364.000000,3300.000000,3304.550049,3238.933105,56212
2022-12-16,3280.000000,3291.100098,3225.100098,3238.100098,3173.802490,66727
2022-12-19,3234.000000,3246.000000,3195.000000,3201.600098,3138.027344,90877
2022-12-20,3201.000000,3248.050049,3164.000000,3242.899902,3178.507080,28562
2022-12-21,3249.000000,3283.000000,3239.350098,3267.149902,3202.275391,91096
2022-12-22,3288.000000,3290.949951,3244.600098,3258.699951,3193.993408,41242
2022-12-23,3235.100098,3265.850098,3218.699951,3227.300049,3163.217041,88714
2022-12-26,3225.000000,3271.949951,3225.000000,3255.850098,3191.200195,18484
2022-12-27,3265.000000,3273.949951,3230.600098,3259.050049,3194.336426,34548
2022-12-28,3245.000000,3266.949951,3226.800049,3256.300049,3191.641113,41409
2022-12-29,3233.000000,3271.000000,3229.050049,3269.250000,3204.333984,52967
2022-12-30,3285.000000,3299.050049,3246.750000,3259.250000,3194.532471,182089
